player_id,madden_id,season,overallrating,position_group,agility,acceleration,speed,stamina,strength,toughness,injury,awareness,jumping,trucking,throwpower,throwaccuracyshort,throwaccuracymid,throwaccuracydeep,playaction,throwonrun,carrying,ballcarriervision,stiffarm,spinmove,jukemove,catching,shortrouterunning,midrouterunning,deeprouterunning,spectacularcatch,catchintraffic,release,runblocking,passblocking,impactblocking,mancoverage,zonecoverage,tackle,hitpower,press,pursuit,kickaccuracy,kickpower,return
00-0022924,BENROETHLISBERGER_QUARTERBACK,2009,93,quarterback,,70.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0019559,CHADPENNINGTON_QUARTERBACK,2009,85,quarterback,,62.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026197,CHADHENNE_QUARTERBACK,2009,66,quarterback,,58.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027020,PATWHITE_QUARTERBACK,2009,65,quarterback,,92.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0000865,CHARLIEBATCH_QUARTERBACK,2009,67,quarterback,,54.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026296,DENNISDIXON_QUARTERBACK,2009,42,quarterback,,84.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026158,JOEFLACCO_QUARTERBACK,2009,81,quarterback,,67.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025561,TROYSMITH_QUARTERBACK,2009,59,quarterback,,86.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025427,JOHNBECK_QUARTERBACK,2009,48,quarterback,,70.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025409,BRADYQUINN_QUARTERBACK,2009,71,quarterback,,72.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023645,DEREKANDERSON_QUARTERBACK,2009,70,quarterback,,56.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025694,BRETTRATLIFF_QUARTERBACK,2009,51,quarterback,,66.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021429,CARSONPALMER_QUARTERBACK,2009,88,quarterback,,56.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021296,JTOSULLIVAN_QUARTERBACK,2009,60,quarterback,,58.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025592,JORDANPALMER_QUARTERBACK,2009,53,quarterback,,54.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0019596,TOMBRADY_QUARTERBACK,2009,97,quarterback,,62.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026234,KEVINOCONNELL_QUARTERBACK,2009,41,quarterback,,75.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025479,TRENTEDWARDS_QUARTERBACK,2009,76,quarterback,,68.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023682,RYANFITZPATRICK_QUARTERBACK,2009,65,quarterback,,64.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026898,MARKSANCHEZ_QUARTERBACK,2009,78,quarterback,,72.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024264,KELLENCLEMENS_QUARTERBACK,2009,69,quarterback,,68.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026302,ERIKAINGE_QUARTERBACK,2009,42,quarterback,,58.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0003292,KERRYCOLLINS_QUARTERBACK,2009,79,quarterback,,52.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024218,VINCEYOUNG_QUARTERBACK,2009,68,quarterback,,93.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021379,PATRICKRAMSEY_QUARTERBACK,2009,56,quarterback,,54.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0010346,PEYTONMANNING_QUARTERBACK,2009,99,quarterback,,55.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027134,CURTISPAINTER_QUARTERBACK,2009,62,quarterback,,64.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022744,JIMSORGI_QUARTERBACK,2009,47,quarterback,,64.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022787,MATTSCHAUB_QUARTERBACK,2009,77,quarterback,,64.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023578,DANORLOVSKY_QUARTERBACK,2009,63,quarterback,,62.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026363,ALEXBRINK_QUARTERBACK,2009,38,quarterback,,65.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021231,DAVIDGARRARD_QUARTERBACK,2009,78,quarterback,,78.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0020565,CLEOLEMON_QUARTERBACK,2009,47,quarterback,,66.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022942,PHILIPRIVERS_QUARTERBACK,2009,89,quarterback,,65.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0019041,BILLYVOLEK_QUARTERBACK,2009,67,quarterback,,58.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024296,CHARLIEWHITEHURST_QUARTERBACK,2009,55,quarterback,,62.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0005755,JEFFGARCIA_QUARTERBACK,2009,75,quarterback,,71.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025388,JAMARCUSRUSSELL_QUARTERBACK,2009,72,quarterback,,74.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023504,ANDREWWALTER_QUARTERBACK,2009,57,quarterback,,57.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023541,KYLEORTON_QUARTERBACK,2009,74,quarterback,,63.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022005,CHRISSIMMS_QUARTERBACK,2009,66,quarterback,,62.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
