player_id,madden_id,season,overallrating,position_group,agility,acceleration,speed,stamina,strength,toughness,injury,awareness,jumping,trucking,throwpower,throwaccuracyshort,throwaccuracymid,throwaccuracydeep,playaction,throwonrun,carrying,ballcarriervision,stiffarm,spinmove,jukemove,catching,shortrouterunning,midrouterunning,deeprouterunning,spectacularcatch,catchintraffic,release,runblocking,passblocking,impactblocking,mancoverage,zonecoverage,tackle,hitpower,press,pursuit,kickaccuracy,kickpower,return
00-0022924,BENROETHLISBERGER_QUARTERBACK,2008,95,quarterback,70,70,73,95.0,84,96.0,92.0,87,74.0,78.0,95,91,91,91,,,65,75.0,78.0,55.0,65.0,52,15.0,,15.0,15.0,15.0,15.0,12.0,15.0,12.0,28.0,13.0,45.0,10.0,10.0,32.0,20.0,22.0,10.0
00-0000865,CHARLIEBATCH_QUARTERBACK,2008,78,quarterback,50,52,50,86.0,55,70.0,68.0,80,52.0,55.0,86,84,84,84,,,45,50.0,25.0,35.0,24.0,37,15.0,,15.0,15.0,15.0,15.0,23.0,24.0,23.0,28.0,18.0,17.0,10.0,10.0,24.0,22.0,16.0,10.0
00-0026296,DENNISDIXON_QUARTERBACK,2008,72,quarterback,85,84,85,94.0,52,70.0,88.0,50,70.0,44.0,90,75,75,75,,,70,85.0,30.0,75.0,90.0,35,10.0,,10.0,10.0,10.0,10.0,20.0,15.0,30.0,15.0,20.0,30.0,10.0,10.0,20.0,25.0,25.0,10.0
00-0023645,DEREKANDERSON_QUARTERBACK,2008,87,quarterback,58,58,58,90.0,65,95.0,94.0,77,49.0,40.0,96,89,89,89,,,60,20.0,10.0,16.0,23.0,15,10.0,,10.0,10.0,10.0,10.0,21.0,19.0,21.0,30.0,16.0,23.0,10.0,10.0,21.0,14.0,22.0,10.0
00-0025409,BRADYQUINN_QUARTERBACK,2008,82,quarterback,74,75,71,92.0,66,85.0,93.0,69,65.0,40.0,89,86,86,86,,,65,55.0,24.0,52.0,58.0,35,10.0,,10.0,10.0,10.0,10.0,20.0,25.0,20.0,14.0,11.0,34.0,10.0,10.0,31.0,15.0,11.0,10.0
00-0022039,KENDORSEY_QUARTERBACK,2008,71,quarterback,50,52,50,84.0,45,75.0,86.0,69,58.0,45.0,81,86,86,86,,,55,20.0,8.0,20.0,34.0,10,10.0,,10.0,10.0,10.0,10.0,7.0,5.0,7.0,24.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
00-0026158,JOEFLACCO_QUARTERBACK,2008,79,quarterback,60,60,66,92.0,78,85.0,95.0,60,55.0,70.0,97,83,83,83,,,55,30.0,60.0,25.0,40.0,30,10.0,,10.0,10.0,10.0,10.0,20.0,15.0,30.0,15.0,20.0,30.0,10.0,10.0,20.0,25.0,25.0,10.0
00-0022164,KYLEBOLLER_QUARTERBACK,2008,78,quarterback,66,68,69,90.0,55,79.0,74.0,69,51.0,62.0,92,78,78,78,,,60,62.0,32.0,58.0,63.0,29,15.0,,15.0,15.0,15.0,15.0,26.0,24.0,26.0,12.0,27.0,30.0,10.0,10.0,30.0,33.0,19.0,10.0
00-0025561,TROYSMITH_QUARTERBACK,2008,73,quarterback,88,86,81,90.0,60,80.0,93.0,58,86.0,50.0,89,73,73,73,,,70,80.0,40.0,78.0,84.0,40,20.0,,20.0,20.0,15.0,15.0,20.0,23.0,25.0,20.0,25.0,35.0,10.0,15.0,22.0,17.0,19.0,20.0
00-0021429,CARSONPALMER_QUARTERBACK,2008,96,quarterback,55,56,54,93.0,63,87.0,89.0,93,52.0,58.0,97,95,95,95,,,60,40.0,30.0,39.0,53.0,12,10.0,,10.0,10.0,10.0,10.0,10.0,11.0,10.0,13.0,26.0,13.0,10.0,10.0,15.0,17.0,14.0,10.0
00-0023682,RYANFITZPATRICK_QUARTERBACK,2008,75,quarterback,62,62,60,85.0,54,75.0,93.0,66,55.0,55.0,86,84,84,84,,,60,37.0,18.0,48.0,45.0,12,15.0,,15.0,15.0,15.0,15.0,14.0,13.0,14.0,10.0,10.0,12.0,10.0,10.0,11.0,19.0,12.0,10.0
00-0025538,JEFFROWE_QUARTERBACK,2008,70,quarterback,67,68,65,88.0,67,80.0,90.0,59,60.0,65.0,83,81,81,81,,,75,70.0,45.0,70.0,75.0,35,10.0,,10.0,10.0,10.0,10.0,25.0,20.0,30.0,20.0,25.0,20.0,10.0,10.0,15.0,25.0,20.0,10.0
00-0019596,TOMBRADY_QUARTERBACK,2008,99,quarterback,62,64,64,99.0,65,95.0,99.0,100,47.0,58.0,99,99,99,99,,,65,45.0,25.0,35.0,54.0,43,15.0,,15.0,10.0,10.0,10.0,34.0,19.0,34.0,31.0,19.0,33.0,10.0,10.0,30.0,17.0,18.0,10.0
00-0023662,MATTCASSEL_QUARTERBACK,2008,76,quarterback,67,66,64,90.0,62,85.0,87.0,68,55.0,44.0,86,82,82,82,,,62,46.0,15.0,40.0,48.0,25,15.0,,15.0,10.0,10.0,10.0,20.0,25.0,20.0,24.0,28.0,24.0,10.0,10.0,21.0,15.0,12.0,10.0
00-0026234,KEVINOCONNELL_QUARTERBACK,2008,73,quarterback,80,75,77,90.0,68,80.0,85.0,50,55.0,65.0,93,78,78,78,,,60,55.0,55.0,55.0,70.0,30,10.0,,10.0,10.0,10.0,10.0,20.0,15.0,30.0,15.0,20.0,30.0,10.0,10.0,20.0,25.0,25.0,10.0
00-0022912,JPLOSMAN_QUARTERBACK,2008,79,quarterback,70,70,70,90.0,56,87.0,79.0,64,52.0,63.0,94,80,80,80,,,60,54.0,25.0,50.0,56.0,30,10.0,,10.0,10.0,10.0,10.0,11.0,11.0,11.0,26.0,15.0,20.0,10.0,10.0,21.0,21.0,26.0,10.0
00-0025479,TRENTEDWARDS_QUARTERBACK,2008,79,quarterback,63,68,63,90.0,61,75.0,70.0,65,65.0,45.0,90,87,87,87,,,60,55.0,30.0,45.0,55.0,35,10.0,,10.0,10.0,10.0,10.0,20.0,20.0,20.0,12.0,15.0,30.0,10.0,10.0,20.0,20.0,20.0,10.0
00-0019559,CHADPENNINGTON_QUARTERBACK,2008,81,quarterback,56,55,55,90.0,49,65.0,65.0,78,47.0,40.0,82,94,94,94,,,55,50.0,11.0,40.0,59.0,25,15.0,,15.0,15.0,15.0,15.0,25.0,28.0,25.0,24.0,30.0,14.0,10.0,10.0,22.0,16.0,26.0,10.0
00-0024264,KELLENCLEMENS_QUARTERBACK,2008,77,quarterback,68,68,66,92.0,56,75.0,85.0,62,83.0,54.0,93,82,82,82,,,65,54.0,35.0,50.0,54.0,35,15.0,,15.0,15.0,15.0,15.0,24.0,29.0,24.0,14.0,11.0,36.0,10.0,10.0,33.0,12.0,30.0,13.0
00-0026302,ERIKAINGE_QUARTERBACK,2008,74,quarterback,56,58,58,90.0,54,80.0,88.0,58,55.0,40.0,92,84,84,84,,,55,30.0,30.0,25.0,35.0,30,10.0,,10.0,10.0,10.0,10.0,20.0,15.0,30.0,15.0,20.0,30.0,10.0,10.0,20.0,25.0,25.0,10.0
00-0021206,JOSHMCCOWN_QUARTERBACK,2008,79,quarterback,75,79,79,90.0,59,72.0,75.0,65,50.0,62.0,87,83,83,83,,,70,63.0,34.0,64.0,64.0,60,58.0,,58.0,40.0,52.0,40.0,14.0,14.0,14.0,21.0,21.0,20.0,10.0,10.0,18.0,25.0,17.0,10.0
00-0025427,JOHNBECK_QUARTERBACK,2008,78,quarterback,66,70,64,90.0,58,80.0,85.0,64,70.0,35.0,89,86,86,86,,,65,55.0,30.0,55.0,60.0,25,10.0,,10.0,10.0,10.0,10.0,20.0,25.0,15.0,12.0,15.0,30.0,10.0,10.0,25.0,21.0,22.0,10.0
00-0026197,CHADHENNE_QUARTERBACK,2008,77,quarterback,58,58,60,92.0,64,84.0,88.0,63,55.0,50.0,95,82,82,82,,,55,30.0,30.0,25.0,40.0,30,10.0,,10.0,10.0,10.0,10.0,20.0,15.0,30.0,15.0,20.0,30.0,10.0,10.0,20.0,25.0,25.0,10.0
00-0010346,PEYTONMANNING_QUARTERBACK,2008,99,quarterback,54,55,59,99.0,64,90.0,99.0,100,49.0,46.0,96,99,99,99,,,65,50.0,25.0,35.0,55.0,26,15.0,,15.0,15.0,15.0,15.0,27.0,25.0,27.0,25.0,22.0,28.0,10.0,10.0,24.0,24.0,23.0,10.0
00-0022744,JIMSORGI_QUARTERBACK,2008,73,quarterback,62,64,62,85.0,52,70.0,88.0,68,48.0,39.0,84,81,81,81,,,55,36.0,14.0,31.0,49.0,18,15.0,,15.0,15.0,15.0,15.0,18.0,22.0,18.0,20.0,21.0,11.0,10.0,10.0,10.0,26.0,18.0,10.0
00-0021231,DAVIDGARRARD_QUARTERBACK,2008,92,quarterback,74,78,77,92.0,68,78.0,88.0,77,48.0,74.0,93,93,93,93,,,75,65.0,68.0,76.0,70.0,35,15.0,,15.0,15.0,15.0,15.0,21.0,20.0,21.0,20.0,14.0,25.0,10.0,10.0,31.0,15.0,10.0,10.0
00-0020565,CLEOLEMON_QUARTERBACK,2008,77,quarterback,66,66,65,94.0,54,65.0,92.0,70,45.0,55.0,84,85,85,85,,,70,55.0,40.0,55.0,61.0,35,15.0,,15.0,15.0,15.0,15.0,35.0,23.0,35.0,16.0,15.0,20.0,10.0,10.0,14.0,29.0,18.0,10.0
00-0024218,VINCEYOUNG_QUARTERBACK,2008,88,quarterback,92,93,90,96.0,69,85.0,92.0,70,88.0,77.0,93,84,84,84,,,74,94.0,82.0,97.0,95.0,64,22.0,,22.0,35.0,20.0,25.0,28.0,32.0,28.0,31.0,30.0,41.0,10.0,10.0,28.0,20.0,24.0,14.0
00-0003292,KERRYCOLLINS_QUARTERBACK,2008,79,quarterback,49,52,47,90.0,66,88.0,93.0,79,48.0,60.0,92,82,82,82,,,45,24.0,15.0,20.0,28.0,23,15.0,,15.0,15.0,15.0,15.0,30.0,18.0,30.0,31.0,28.0,13.0,10.0,10.0,25.0,20.0,20.0,10.0
00-0022787,MATTSCHAUB_QUARTERBACK,2008,85,quarterback,62,64,62,90.0,64,85.0,85.0,78,44.0,52.0,88,92,92,92,,,60,40.0,20.0,37.0,48.0,22,15.0,,15.0,15.0,15.0,15.0,21.0,19.0,21.0,31.0,31.0,23.0,10.0,10.0,18.0,14.0,22.0,10.0
00-0020480,SAGEROSENFELS_QUARTERBACK,2008,79,quarterback,60,63,60,88.0,54,70.0,84.0,74,51.0,42.0,87,86,86,86,,,50,17.0,15.0,48.0,50.0,15,15.0,,15.0,15.0,15.0,15.0,16.0,15.0,16.0,26.0,30.0,19.0,10.0,10.0,15.0,30.0,26.0,10.0
00-0020613,QUINNGRAY_QUARTERBACK,2008,76,quarterback,69,70,71,88.0,59,70.0,88.0,66,49.0,62.0,90,78,78,78,,,60,62.0,59.0,55.0,64.0,33,15.0,,15.0,15.0,15.0,15.0,30.0,32.0,30.0,25.0,13.0,18.0,10.0,10.0,27.0,33.0,17.0,10.0
00-0022942,PHILIPRIVERS_QUARTERBACK,2008,90,quarterback,55,65,64,92.0,56,98.0,97.0,87,45.0,58.0,87,95,95,95,,,55,45.0,17.0,41.0,50.0,22,10.0,,10.0,10.0,10.0,10.0,13.0,12.0,13.0,13.0,31.0,22.0,10.0,10.0,28.0,12.0,15.0,10.0
00-0019041,BILLYVOLEK_QUARTERBACK,2008,82,quarterback,54,58,55,85.0,50,70.0,78.0,78,48.0,52.0,90,88,88,88,,,50,46.0,18.0,39.0,55.0,23,15.0,,15.0,15.0,15.0,15.0,25.0,32.0,25.0,27.0,22.0,22.0,10.0,10.0,17.0,18.0,21.0,10.0
00-0024226,JAYCUTLER_QUARTERBACK,2008,86,quarterback,70,74,74,90.0,70,85.0,95.0,70,69.0,64.0,95,86,86,86,,,65,63.0,47.0,63.0,65.0,35,10.0,,10.0,10.0,10.0,10.0,19.0,26.0,19.0,12.0,11.0,30.0,10.0,10.0,25.0,20.0,25.0,10.0
00-0021379,PATRICKRAMSEY_QUARTERBACK,2008,79,quarterback,57,54,55,89.0,59,88.0,89.0,75,44.0,45.0,92,81,81,81,,,60,42.0,35.0,32.0,42.0,13,15.0,,15.0,15.0,15.0,15.0,11.0,11.0,11.0,17.0,24.0,22.0,10.0,10.0,27.0,12.0,12.0,10.0
00-0024300,BRODIECROYLE_QUARTERBACK,2008,78,quarterback,55,66,55,90.0,53,75.0,78.0,66,66.0,44.0,93,85,85,85,,,60,47.0,10.0,40.0,51.0,24,15.0,,15.0,15.0,15.0,15.0,26.0,17.0,26.0,12.0,10.0,29.0,10.0,10.0,18.0,19.0,12.0,12.0
00-0007835,DAMONHUARD_QUARTERBACK,2008,78,quarterback,56,59,57,87.0,55,65.0,75.0,75,51.0,35.0,86,86,86,86,,,55,45.0,10.0,40.0,54.0,20,15.0,,15.0,15.0,15.0,15.0,30.0,15.0,30.0,12.0,26.0,10.0,10.0,10.0,10.0,30.0,19.0,10.0
00-0025604,TYLERTHIGPEN_QUARTERBACK,2008,74,quarterback,82,80,79,90.0,64,78.0,90.0,58,70.0,55.0,85,80,80,80,,,75,80.0,40.0,65.0,75.0,30,15.0,,15.0,15.0,15.0,15.0,15.0,10.0,10.0,15.0,20.0,20.0,10.0,10.0,10.0,20.0,20.0,10.0
00-0025388,JAMARCUSRUSSELL_QUARTERBACK,2008,83,quarterback,73,74,72,94.0,78,82.0,93.0,59,88.0,82.0,98,87,87,87,,,75,80.0,80.0,65.0,75.0,45,10.0,,10.0,10.0,10.0,10.0,28.0,32.0,28.0,31.0,30.0,41.0,20.0,10.0,28.0,20.0,24.0,14.0
00-0023504,ANDREWWALTER_QUARTERBACK,2008,76,quarterback,58,57,54,92.0,60,80.0,78.0,62,56.0,55.0,92,86,86,86,,,50,15.0,15.0,16.0,22.0,29,15.0,,15.0,15.0,15.0,15.0,38.0,22.0,38.0,30.0,29.0,30.0,10.0,10.0,21.0,24.0,17.0,10.0
00-0023459,AARONRODGERS_QUARTERBACK,2008,83,quarterback,66,69,66,92.0,54,70.0,84.0,72,59.0,55.0,90,88,88,88,,,60,52.0,20.0,55.0,54.0,25,15.0,,15.0,15.0,15.0,15.0,18.0,12.0,18.0,13.0,19.0,19.0,10.0,10.0,12.0,18.0,15.0,10.0
00-0026196,BRIANBROHM_QUARTERBACK,2008,80,quarterback,64,64,64,92.0,63,82.0,87.0,65,50.0,58.0,91,88,88,88,,,60,35.0,40.0,30.0,45.0,30,10.0,,10.0,10.0,10.0,10.0,20.0,15.0,30.0,15.0,20.0,30.0,10.0,10.0,20.0,25.0,25.0,10.0
00-0026349,MATTFLYNN_QUARTERBACK,2008,72,quarterback,76,78,75,92.0,64,82.0,89.0,58,50.0,68.0,86,78,78,78,,,75,70.0,40.0,65.0,75.0,30,10.0,,10.0,10.0,10.0,10.0,20.0,15.0,30.0,15.0,20.0,30.0,10.0,10.0,20.0,25.0,25.0,10.0
00-0024279,TARVARISJACKSON_QUARTERBACK,2008,79,quarterback,85,85,86,90.0,62,78.0,85.0,58,70.0,64.0,94,78,78,78,,,70,65.0,52.0,65.0,68.0,38,15.0,,15.0,15.0,15.0,15.0,10.0,7.0,10.0,22.0,24.0,35.0,10.0,10.0,22.0,31.0,49.0,11.0
00-0005589,GUSFREROTTE_QUARTERBACK,2008,77,quarterback,52,54,52,80.0,52,50.0,66.0,78,48.0,48.0,86,84,84,84,,,50,28.0,14.0,29.0,39.0,19,15.0,,15.0,15.0,15.0,15.0,21.0,19.0,21.0,30.0,27.0,17.0,10.0,10.0,14.0,27.0,31.0,10.0
00-0026277,JOHNDAVIDBOOTY_QUARTERBACK,2008,77,quarterback,62,59,58,92.0,62,80.0,85.0,65,50.0,50.0,89,86,86,86,,,60,35.0,40.0,30.0,40.0,30,10.0,,10.0,10.0,10.0,10.0,20.0,15.0,30.0,15.0,20.0,30.0,10.0,10.0,20.0,25.0,25.0,10.0
00-0022121,REXGROSSMAN_QUARTERBACK,2008,79,quarterback,59,60,57,90.0,51,75.0,70.0,66,55.0,46.0,95,84,84,84,,,55,41.0,10.0,39.0,54.0,15,10.0,,10.0,10.0,10.0,10.0,16.0,15.0,16.0,29.0,19.0,21.0,10.0,10.0,21.0,18.0,29.0,10.0
00-0023541,KYLEORTON_QUARTERBACK,2008,76,quarterback,60,63,59,92.0,54,88.0,92.0,72,60.0,55.0,85,84,84,84,,,60,38.0,21.0,35.0,28.0,23,10.0,,10.0,10.0,10.0,10.0,11.0,14.0,11.0,29.0,21.0,18.0,10.0,10.0,18.0,12.0,12.0,10.0
00-0009311,JONKITNA_QUARTERBACK,2008,84,quarterback,60,60,60,90.0,56,95.0,90.0,78,47.0,54.0,89,89,89,89,,,55,22.0,25.0,40.0,33.0,18,15.0,,15.0,15.0,15.0,15.0,20.0,36.0,20.0,17.0,20.0,30.0,10.0,10.0,28.0,36.0,26.0,10.0
